Updated,26/10/2013,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm],q ref.
NiII,1709,ALL,58.6934,58493.0772,0.0040,0,"Pickering:2000:163,Nave:2012:1570",1709.60402,0.00012,20.5,3\rm{d}^9~^2\rm{D}_{5/2},3\rm{d}^84\rm{p~z}^2\rm{F}_{5/2}^{\rm o},m_1,7.64,18.17,0.0324,4.35E+08,-20,250,Dzuba:2002:022501
,1741,ALL,58.6934,57420.0191,0.0040,0,"Pickering:2000:163,Nave:2012:1570",1741.55289,0.00012,20.9,,3\rm{d}^84\rm{p~z}^2\rm{D}_{5/2}^{\rm o},m_2,,,0.0427,5.00E+08,-1400,250,Dzuba:2002:022501
,1751,ALL,58.6934,57080.3791,0.0040,0,"Pickering:2000:163,Nave:2012:1570",1751.91549,0.00012,21.0,,3\rm{d}^84\rm{p~z}^2\rm{F}_{7/2}^{\rm o},m_3,,,0.0277,3.70E+08,-700,250,Dzuba:2002:022501
END,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Measurements,,,,,,,,,,,,,,,,,,,,
Transition,w [/cm],dw [/cm],Reference,Pickering:2000:163 wavenumbers increased by 10.6 parts per 10^8 â€“ see Nave:2012:1570,w [/cm],dw [/cm],Reference/Note,l [Ang.],dl [Ang.],,,,,,,,,,,
1703,58705.707,0.015,Pickering:2000:163,58705.7132,58705.7132,0.0150,Pickering:2000:163,1703.41172,0.00044,,,,,,,,,,,
1709,58493.071,0.004,Pickering:2000:163,58493.0772,58493.0772,0.0040,Pickering:2000:163,1709.60402,0.00012,,,,,,,,,,,
1741,57420.013,0.004,Pickering:2000:163,57420.0191,57420.0191,0.0040,Pickering:2000:163,1741.55289,0.00012,,,,,,,,,,,
1751,57080.373,0.004,Pickering:2000:163,57080.3791,57080.3791,0.0040,Pickering:2000:163,1751.91549,0.00012,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,,,,,,,
Dzuba:2002:022501,http://adsabs.harvard.edu/abs/2002PhRvA..66b2501D,,,,,,,,,,,,,,,,,,,
Nave:2012:1570,http://adsabs.harvard.edu/abs/2012MNRAS.420.1570N,,,,,,,,,,,,,,,,,,,
Pickering:2000:163,http://adsabs.harvard.edu/abs/2000MNRAS.319..163P,,,,,,,,,,,,,,,,,,,
